DrawId	Date	-	gch	mil	drt	-	rank1rst	rank2nd	rank3rd
20191206	06.12.2019	-	4	5	5	-	435.1	145.0	4.4
20191205	05.12.2019	-	4	4	1	-	616.1	205.4	6.2
20191204	04.12.2019	-	1	5	9	-	439.5	73.3	4.4
20191203	03.12.2019	-	0	8	2	-	618.5	103.1	6.2
20191202	02.12.2019	-	8	1	7	-	816.5	136.1	8.2
20191130	30.11.2019	-	0	8	5	-	862.0	143.7	8.6
20191129	29.11.2019	-	1	5	6	-	406.0	67.7	4.1
20191128	28.11.2019	-	9	0	8	-	741.4	123.6	7.4
20191127	27.11.2019	-	6	3	6	-	928.3	309.4	9.3
20191126	26.11.2019	-	5	3	8	-	0.0	118.8	7.1
20191125	25.11.2019	-	3	8	2	-	0.0	186.2	11.2
20191123	23.11.2019	-	2	1	7	-	552.3	92.1	5.5
20191122	22.11.2019	-	3	3	0	-	710.4	236.8	7.1
20191121	21.11.2019	-	8	2	4	-	607.8	101.3	6.1
20191120	20.11.2019	-	0	3	7	-	474.4	79.1	4.7
20191119	19.11.2019	-	5	6	1	-	502.7	83.8	5.0
20191118	18.11.2019	-	6	6	9	-	0.0	290.7	8.7
20191116	16.11.2019	-	2	5	4	-	355.6	59.3	3.6
20191115	15.11.2019	-	5	1	6	-	465.8	77.6	4.7
20191114	14.11.2019	-	1	3	1	-	296.9	99.0	3.0
20191113	13.11.2019	-	2	1	2	-	710.8	236.9	7.1
20191112	12.11.2019	-	0	2	8	-	448.3	74.7	4.5
20191111	11.11.2019	-	7	6	9	-	0.0	138.1	8.3
20191109	09.11.2019	-	2	9	8	-	540.3	90.0	5.4
20191108	08.11.2019	-	1	6	5	-	523.8	87.3	5.2
20191107	07.11.2019	-	4	4	2	-	529.2	176.4	5.3
20191106	06.11.2019	-	0	0	2	-	444.3	148.1	4.4
20191105	05.11.2019	-	0	0	8	-	887.0	295.7	8.9
20191104	04.11.2019	-	5	1	9	-	755.1	125.8	7.6
20191102	02.11.2019	-	3	7	0	-	837.0	139.5	8.4
20191101	01.11.2019	-	1	3	1	-	335.7	111.9	3.4
20191031	31.10.2019	-	5	4	5	-	452.1	150.7	4.5
20191030	30.10.2019	-	3	2	6	-	0.0	183.9	11.0
20191029	29.10.2019	-	6	0	4	-	752.7	125.4	7.5
20191028	28.10.2019	-	1	9	7	-	401.5	66.9	4.0
20191026	26.10.2019	-	7	5	3	-	551.3	91.9	5.5
20191025	25.10.2019	-	3	4	3	-	510.1	170.0	5.1
20191024	24.10.2019	-	2	2	0	-	488.0	162.7	4.9
20191023	23.10.2019	-	3	7	5	-	417.7	69.6	4.2
20191022	22.10.2019	-	1	5	5	-	348.3	116.1	3.5
20191021	21.10.2019	-	8	2	8	-	674.5	224.8	6.7
20191019	19.10.2019	-	7	3	9	-	739.8	123.3	7.4
20191018	18.10.2019	-	2	2	0	-	750.6	250.2	7.5
20191017	17.10.2019	-	8	8	7	-	943.2	314.4	9.4
20191016	16.10.2019	-	0	9	2	-	601.1	100.2	6.0
20191015	15.10.2019	-	8	2	0	-	0.0	162.8	9.8
20191014	14.10.2019	-	1	6	5	-	722.9	120.5	7.2
20191012	12.10.2019	-	9	2	7	-	847.1	141.2	8.5
20191011	11.10.2019	-	7	9	5	-	680.7	113.4	6.8
20191010	10.10.2019	-	8	9	9	-	512.7	170.9	5.1
20191009	09.10.2019	-	4	6	6	-	641.4	213.8	6.4
20191008	08.10.2019	-	2	9	4	-	635.3	105.9	6.4
20191007	07.10.2019	-	5	4	5	-	590.5	196.8	5.9
20191005	05.10.2019	-	9	9	4	-	815.2	271.7	8.2
20191004	04.10.2019	-	8	4	6	-	441.0	73.5	4.4
20191003	03.10.2019	-	9	5	2	-	645.9	107.7	6.5
20191002	02.10.2019	-	8	9	0	-	0.0	171.7	10.3
20191001	01.10.2019	-	4	2	4	-	454.9	151.6	4.5
20190930	30.09.2019	-	3	6	4	-	654.1	109.0	6.5
20190928	28.09.2019	-	8	4	4	-	848.8	282.9	8.5
20190927	27.09.2019	-	3	4	5	-	279.0	46.5	2.8
20190926	26.09.2019	-	6	4	3	-	691.2	115.2	6.9
20190925	25.09.2019	-	2	7	7	-	493.3	164.4	4.9
20190924	24.09.2019	-	8	0	5	-	699.7	116.6	7.0
20190923	23.09.2019	-	1	3	8	-	422.9	70.5	4.2
20190921	21.09.2019	-	3	0	9	-	667.6	111.3	6.7
20190920	20.09.2019	-	1	4	6	-	404.6	67.4	4.0
20190919	19.09.2019	-	5	2	8	-	539.3	89.9	5.4
20190918	18.09.2019	-	7	9	2	-	754.4	125.7	7.5
20190917	17.09.2019	-	8	3	8	-	547.8	182.6	5.5
20190916	16.09.2019	-	5	1	3	-	745.6	124.3	7.5
20190914	14.09.2019	-	5	3	0	-	592.1	98.7	5.9
20190913	13.09.2019	-	3	9	3	-	1015.2	338.4	10.2
20190912	12.09.2019	-	6	0	5	-	867.3	144.5	8.7
20190911	11.09.2019	-	4	3	3	-	653.3	217.8	6.5
20190910	10.09.2019	-	5	4	3	-	617.4	102.9	6.2
20190909	09.09.2019	-	3	0	2	-	770.6	128.4	7.7
20190907	07.09.2019	-	3	6	1	-	490.8	81.8	4.9
20190906	06.09.2019	-	2	5	2	-	0.0	314.2	9.4
20190905	05.09.2019	-	3	4	5	-	361.6	60.3	3.6
20190904	04.09.2019	-	6	0	6	-	683.5	227.8	6.8
20190903	03.09.2019	-	2	9	3	-	638.0	106.3	6.4
20190902	02.09.2019	-	3	0	5	-	684.4	114.1	6.8
20190831	31.08.2019	-	1	7	7	-	413.2	137.7	4.1
20190830	30.08.2019	-	0	3	9	-	802.0	133.7	8.0
20190829	29.08.2019	-	8	2	5	-	595.5	99.2	6.0
20190828	28.08.2019	-	8	9	7	-	424.7	70.8	4.2
20190827	27.08.2019	-	8	9	2	-	434.8	72.5	4.3
20190826	26.08.2019	-	5	8	9	-	569.7	95.0	5.7
20190824	24.08.2019	-	5	7	8	-	383.5	63.9	3.8
20190823	23.08.2019	-	1	9	8	-	681.9	113.7	6.8
20190822	22.08.2019	-	6	0	3	-	507.9	84.7	5.1
20190821	21.08.2019	-	0	4	5	-	753.4	125.6	7.5
20190820	20.08.2019	-	9	1	4	-	715.6	119.3	7.2
20190819	19.08.2019	-	7	4	1	-	527.8	88.0	5.3
20190817	17.08.2019	-	4	7	0	-	613.4	102.2	6.1
20190816	16.08.2019	-	2	2	0	-	858.1	286.0	8.6
20190815	15.08.2019	-	8	3	0	-	638.6	106.4	6.4
20190814	14.08.2019	-	9	3	1	-	454.5	75.7	4.5
20190813	13.08.2019	-	8	6	1	-	610.0	101.7	6.1
20190812	12.08.2019	-	4	0	0	-	840.5	280.2	8.4
20190810	10.08.2019	-	3	3	4	-	924.8	308.3	9.2
20190809	09.08.2019	-	2	2	4	-	792.4	264.1	7.9
20190808	08.08.2019	-	0	8	2	-	748.9	124.8	7.5
20190807	07.08.2019	-	5	8	6	-	547.5	91.2	5.5
20190806	06.08.2019	-	5	3	4	-	0.0	153.3	9.2
20190805	05.08.2019	-	3	6	6	-	0.0	0.0	13.8
20190803	03.08.2019	-	0	0	1	-	496.8	165.6	5.0
20190802	02.08.2019	-	1	8	4	-	628.2	104.7	6.3
20190801	01.08.2019	-	7	8	9	-	467.1	77.9	4.7
20190731	31.07.2019	-	5	5	6	-	587.1	195.7	5.9
20190730	30.07.2019	-	5	2	0	-	551.5	91.9	5.5
20190729	29.07.2019	-	0	3	7	-	563.2	93.9	5.6
20190727	27.07.2019	-	5	8	8	-	0.0	324.6	9.7
20190726	26.07.2019	-	7	6	4	-	723.9	120.7	7.2
20190725	25.07.2019	-	1	5	1	-	558.9	186.3	5.6
20190724	24.07.2019	-	6	1	9	-	488.5	81.4	4.9
20190723	23.07.2019	-	3	7	5	-	451.3	75.2	4.5
20190722	22.07.2019	-	3	5	3	-	911.9	304.0	9.1
20190720	20.07.2019	-	8	8	4	-	839.7	279.9	8.4
20190719	19.07.2019	-	3	0	4	-	586.9	97.8	5.9
20190718	18.07.2019	-	2	4	0	-	0.0	163.4	9.8
20190717	17.07.2019	-	2	3	9	-	503.1	83.9	5.0
20190716	16.07.2019	-	7	6	2	-	586.5	97.8	5.9
20190715	15.07.2019	-	2	9	3	-	537.2	89.5	5.4
20190713	13.07.2019	-	5	0	4	-	627.5	104.6	6.3
20190712	12.07.2019	-	6	6	8	-	0.0	330.8	9.9
20190711	11.07.2019	-	6	5	7	-	526.2	87.7	5.3
20190710	10.07.2019	-	8	6	3	-	406.6	67.8	4.1
20190709	09.07.2019	-	0	7	7	-	739.5	246.5	7.4
20190708	08.07.2019	-	5	2	6	-	727.7	121.3	7.3
20190706	06.07.2019	-	5	6	1	-	538.2	89.7	5.4
20190705	05.07.2019	-	8	8	7	-	0.0	335.0	10.0
20190704	04.07.2019	-	0	9	9	-	819.5	273.2	8.2
20190703	03.07.2019	-	2	8	8	-	0.0	354.6	10.6
20190702	02.07.2019	-	8	7	6	-	605.3	100.9	6.1
20190701	01.07.2019	-	2	9	6	-	789.0	131.5	7.9
20190629	29.06.2019	-	2	7	4	-	602.3	100.4	6.0
20190628	28.06.2019	-	9	7	0	-	616.1	102.7	6.2
20190627	27.06.2019	-	4	2	5	-	0.0	130.4	7.8
20190626	26.06.2019	-	8	5	1	-	755.2	125.9	7.6
20190625	25.06.2019	-	6	0	7	-	739.7	123.3	7.4
20190624	24.06.2019	-	8	6	2	-	627.2	104.5	6.3
20190622	22.06.2019	-	2	4	1	-	385.3	64.2	3.9
20190621	21.06.2019	-	2	1	8	-	577.0	96.2	5.8
20190620	20.06.2019	-	1	4	3	-	692.7	115.5	6.9
20190619	19.06.2019	-	3	3	6	-	900.2	300.1	9.0
20190618	18.06.2019	-	8	1	4	-	443.0	73.8	4.4
20190617	17.06.2019	-	4	1	8	-	709.7	118.3	7.1
20190615	15.06.2019	-	3	7	8	-	554.2	92.4	5.5
20190614	14.06.2019	-	4	9	2	-	0.0	157.7	9.5
20190613	13.06.2019	-	6	9	7	-	865.9	144.3	8.7
20190612	12.06.2019	-	8	0	9	-	696.5	116.1	7.0
20190611	11.06.2019	-	0	6	7	-	711.3	118.5	7.1
20190610	10.06.2019	-	2	0	8	-	361.7	60.3	3.6
20190608	08.06.2019	-	1	3	1	-	400.1	133.4	4.0
20190607	07.06.2019	-	1	9	8	-	509.9	85.0	5.1
20190606	06.06.2019	-	4	6	7	-	803.5	133.9	8.0
20190605	05.06.2019	-	2	6	4	-	453.6	75.6	4.5
20190604	04.06.2019	-	2	7	4	-	668.3	111.4	6.7
20190603	03.06.2019	-	4	5	2	-	464.8	77.5	4.6
20190601	01.06.2019	-	3	6	9	-	369.3	61.5	3.7
20190531	31.05.2019	-	4	9	9	-	0.0	463.1	13.9
20190530	30.05.2019	-	6	6	9	-	580.9	193.6	5.8
20190529	29.05.2019	-	5	4	0	-	729.2	121.5	7.3
20190528	28.05.2019	-	8	4	0	-	792.0	132.0	7.9
20190527	27.05.2019	-	7	0	5	-	493.0	82.2	4.9
20190525	25.05.2019	-	1	4	6	-	289.2	48.2	2.9
20190524	24.05.2019	-	5	8	0	-	0.0	153.4	9.2
