pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
-10	-10	20191206	3	2.83	0.75	3.0	0.5
-10	3	20191205	1	2.83	0.75	3.0	0.5
3	1	20191204	2	3.2	0.8	3.0	0.0
1	2	20191203	3	3.0	1.0	3.0	0.0
2	3	20191202	2	2.67	1.0	2.0	0.5
3	2	20191130	2	2.5	1.25	2.0	0.5
2	2	20191129	1	2.57	0.67	2.0	1.0
2	1	20191128	1	2.83	0.75	2.5	1.0
1	1	20191127	4	2.67	1.0	2.5	1.0
1	4	20191126	3	2.67	1.0	3.0	1.0
4	3	20191125	1	2.5	1.25	2.5	1.0
3	1	20191123	3	3.0	1.0	4.0	1.0
1	3	20191122	3	2.8	1.2	3.0	1.0
3	3	20191121	2	2.8	1.2	3.0	1.0
3	2	20191120	2	2.33	1.5	2.5	1.5
2	2	20191119	4	2.33	1.5	2.0	1.5
2	4	20191118	3	2.29	1.33	2.0	1.0
4	3	20191116	1	2.38	0.5	2.0	0.5
3	1	20191115	2	2.57	0.67	3.0	1.0
1	2	20191114	1	2.43	1.0	2.0	1.0
2	1	20191113	2	2.43	1.0	2.0	1.0
1	2	20191112	1	2.25	1.0	2.0	1.0
2	1	20191111	2	2.14	1.67	2.0	2.0
1	2	20191109	1	2.25	1.0	2.0	1.0
2	1	20191108	1	2.29	1.33	2.0	1.0
1	1	20191107	2	2.43	1.0	2.0	1.0
1	2	20191106	3	2.38	0.5	2.0	0.5
2	3	20191105	2	2.25	1.0	2.0	1.0
3	2	20191104	1	2.25	1.0	2.0	1.0
2	1	20191102	2	2.57	0.67	2.0	1.0
1	2	20191101	1	2.57	0.67	2.0	1.0
2	1	20191031	2	2.67	1.0	2.0	1.0
1	2	20191030	3	2.43	1.0	1.0	1.0
2	3	20191029	1	2.43	1.0	2.0	1.0
3	1	20191028	1	2.57	0.67	2.0	0.0
1	1	20191026	2	2.57	0.67	2.0	0.0
1	2	20191025	1	2.57	0.67	2.0	0.0
2	1	20191024	4	2.57	0.67	2.0	0.0
1	4	20191023	1	2.57	0.67	2.0	0.0
4	1	20191022	1	3.0	0.5	2.5	0.0
1	1	20191021	4	3.2	0.8	3.0	0.0
1	4	20191019	1	3.0	1.0	3.0	0.0
4	1	20191018	3	3.5	1.0	3.5	0.0
1	3	20191017	1	3.6	0.4	3.0	0.0
3	1	20191016	5	4.25	0.5	4.0	0.5
1	5	20191015	2	4.0	0.67	4.0	1.0
5	2	20191014	2	3.2	0.8	3.0	1.0
2	2	20191012	1	3.2	0.8	2.0	1.0
2	1	20191011	5	3.2	0.8	2.0	1.0
1	5	20191010	4	3.2	0.8	2.0	1.0
5	4	20191009	2	3.0	1.0	2.0	1.0
4	2	20191008	3	2.8	1.2	2.0	1.0
2	3	20191007	5	2.6	1.4	2.0	1.0
3	5	20191005	2	2.33	1.5	1.5	1.5
5	2	20191004	4	2.29	1.33	2.0	1.0
2	4	20191003	1	2.38	0.5	2.5	0.5
4	1	20191002	1	2.71	0.33	3.0	0.0
1	1	20191001	1	2.83	0.75	3.0	0.5
1	1	20190930	1	2.83	0.75	3.0	0.5
1	1	20190928	4	2.83	0.75	3.0	1.0
1	4	20190927	3	2.83	0.75	3.0	1.0
4	3	20190926	2	2.57	0.67	2.0	1.0
3	2	20190925	1	2.57	0.67	3.0	1.0
2	1	20190924	2	3.0	0.5	3.0	0.5
1	2	20190923	3	2.83	0.75	3.0	1.0
2	3	20190921	2	2.83	0.75	3.0	1.0
3	2	20190920	2	2.83	0.75	3.0	1.0
2	2	20190919	1	2.83	0.75	3.0	1.0
2	1	20190918	2	2.83	0.75	3.0	1.0
1	2	20190917	3	2.43	1.0	2.0	1.0
2	3	20190916	1	2.29	1.33	2.0	1.0
3	1	20190914	2	2.67	1.0	2.5	1.0
1	2	20190913	2	2.67	1.0	2.0	1.0
2	2	20190912	4	2.67	1.0	2.5	1.0
2	4	20190911	1	2.43	1.0	2.0	1.0
4	1	20190910	2	2.43	1.0	2.0	1.0
1	2	20190909	3	2.25	1.0	2.0	1.0
2	3	20190907	1	2.25	1.0	2.5	1.0
3	1	20190906	1	2.57	0.67	3.0	1.0
1	1	20190905	1	2.71	0.33	3.0	0.0
1	1	20190904	2	2.67	1.0	3.0	1.0
1	2	20190903	4	2.67	1.0	3.0	1.0
2	4	20190902	2	2.67	1.0	3.0	1.0
4	2	20190831	2	2.57	0.67	3.0	1.0
2	2	20190830	1	2.38	0.5	2.0	0.5
2	1	20190829	1	2.29	1.33	2.0	1.0
1	1	20190828	3	2.17	1.75	2.0	1.5
1	3	20190827	2	2.0	2.0	2.0	2.0
3	2	20190826	1	2.25	1.0	2.0	1.0
2	1	20190824	2	2.14	1.67	2.0	2.0
1	2	20190823	1	2.0	2.0	2.0	2.0
2	1	20190822	2	2.14	1.67	2.0	1.0
1	2	20190821	2	2.14	1.67	2.0	1.0
2	2	20190820	1	2.14	1.67	2.0	1.0
2	1	20190819	1	2.71	0.33	2.0	0.0
1	1	20190817	1	3.17	0.25	3.0	0.0
1	1	20190816	2	3.6	0.4	3.0	0.0
1	2	20190815	4	3.4	0.6	3.0	0.0
2	4	20190814	3	3.2	0.8	3.0	1.0
4	3	20190813	2	3.0	1.0	3.0	1.0
3	2	20190812	2	3.0	1.0	2.0	1.0
