pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
-10	-10	20191206	2	2.43	1.0	2.0	1.0
-10	2	20191205	1	2.43	1.0	3.0	1.0
2	1	20191204	1	2.5	1.25	3.0	1.5
1	1	20191203	2	2.33	1.5	3.0	2.0
1	2	20191202	2	2.29	1.33	2.0	2.0
2	2	20191130	1	2.29	1.33	2.0	2.0
2	1	20191129	2	2.43	1.0	2.0	1.0
1	2	20191128	2	2.38	0.5	2.0	0.5
2	2	20191127	1	2.38	0.5	2.0	0.5
2	1	20191126	1	2.38	0.5	2.0	0.5
1	1	20191125	1	2.29	1.33	2.0	1.0
1	1	20191123	2	2.29	1.33	2.0	1.0
1	2	20191122	1	2.25	1.0	2.5	1.0
2	1	20191121	2	2.43	1.0	3.0	1.0
1	2	20191120	1	2.43	1.0	3.0	1.0
2	1	20191119	2	2.57	0.67	3.0	1.0
1	2	20191118	2	2.43	1.0	2.0	1.0
2	2	20191116	1	2.29	1.33	2.0	1.0
2	1	20191115	1	2.33	1.5	2.0	1.5
1	1	20191114	1	2.6	1.4	3.0	1.0
1	1	20191113	3	2.8	1.2	3.0	1.0
1	3	20191112	3	2.5	1.25	2.0	1.0
3	3	20191111	2	2.5	1.25	2.5	1.0
3	2	20191109	2	2.29	1.33	2.0	1.0
2	2	20191108	2	2.0	2.0	2.0	2.0
2	2	20191107	2	2.0	2.0	2.0	2.0
2	2	20191106	1	2.0	0.0	2.0	0.0
2	1	20191105	1	2.11	1.0	2.0	1.0
1	1	20191104	1	2.25	1.0	2.0	1.0
1	1	20191102	2	2.43	1.0	2.0	1.0
1	2	20191101	1	2.29	1.33	2.0	1.0
2	1	20191031	3	2.43	1.0	2.0	1.0
