pred2ndNext	pred1rstNext	DrawId	Feat-Parity-Over10	Feat-Parity-Over10-CanIncreaseOf	Feat-UniverseLength-Over10-CanDecreaseOf
-10	-10	20191206	5	0	-1
-10	5	20191205	6	0	-1
5	6	20191204	6	1	0
6	6	20191203	7	0	-1
6	7	20191202	7	0	-1
7	7	20191130	7	1	0
7	7	20191129	7	1	0
7	7	20191128	6	1	0
7	6	20191127	6	0	-1
6	6	20191126	6	0	-1
6	6	20191125	5	1	0
6	5	20191123	5	0	-1
5	5	20191122	6	0	-1
5	6	20191121	5	1	0
6	5	20191120	5	0	-1
5	5	20191119	5	1	0
5	5	20191118	6	0	-1
5	6	20191116	7	0	-1
6	7	20191115	7	0	-1
7	7	20191114	6	1	0
7	6	20191113	7	0	-1
6	7	20191112	6	1	0
7	6	20191111	5	1	0
6	5	20191109	6	0	-1
5	6	20191108	6	0	-1
6	6	20191107	6	1	0
6	6	20191106	5	1	0
6	5	20191105	4	1	0
5	4	20191104	4	0	-1
4	4	20191102	4	1	0
4	4	20191101	3	1	0
4	3	20191031	4	0	-1
3	4	20191030	4	1	0
4	4	20191029	4	0	-1
4	4	20191028	3	1	0
4	3	20191026	4	0	-1
3	4	20191025	5	0	-1
4	5	20191024	5	1	0
5	5	20191023	4	1	0
5	4	20191022	4	1	0
4	4	20191021	4	1	0
4	4	20191019	4	0	-1
4	4	20191018	5	0	-1
4	5	20191017	4	1	0
5	4	20191016	5	0	-1
4	5	20191015	5	0	-1
5	5	20191014	5	0	-1
5	5	20191012	6	0	-1
5	6	20191011	7	0	-1
6	7	20191010	8	0	-1
7	8	20191009	9	0	-1
8	9	20191008	8	1	0
9	8	20191007	7	1	0
8	7	20191005	7	1	0
7	7	20191004	6	1	0
7	6	20191003	6	0	-1
6	6	20191002	5	1	0
6	5	20191001	5	0	-1
5	5	20190930	5	0	-1
5	5	20190928	5	0	-1
5	5	20190927	5	0	-1
5	5	20190926	5	1	0
5	5	20190925	6	0	-1
5	6	20190924	6	1	0
6	6	20190923	6	1	0
6	6	20190921	5	1	0
6	5	20190920	5	1	0
5	5	20190919	5	0	-1
5	5	20190918	4	1	0
5	4	20190917	4	0	-1
4	4	20190916	3	1	0
4	3	20190914	4	0	-1
3	4	20190913	3	1	0
4	3	20190912	3	1	0
3	3	20190911	3	1	0
3	3	20190910	3	1	0
3	3	20190909	3	1	0
3	3	20190907	2	1	0
3	2	20190906	3	0	-1
2	3	20190905	2	1	0
3	2	20190904	3	0	-1
2	3	20190903	3	0	-1
3	3	20190902	3	1	0
3	3	20190831	3	1	0
3	3	20190830	4	0	-1
3	4	20190829	4	1	0
4	4	20190828	5	0	-1
4	5	20190827	6	0	-1
5	6	20190826	6	0	-1
6	6	20190824	6	1	0
6	6	20190823	5	1	0
6	5	20190822	5	0	-1
5	5	20190821	6	0	-1
5	6	20190820	7	0	-1
6	7	20190819	7	0	-1
7	7	20190817	8	0	-1
7	8	20190816	8	0	-1
8	8	20190815	8	0	-1
8	8	20190814	7	1	0
8	7	20190813	8	0	-1
7	8	20190812	8	1	0
8	8	20190810	8	0	-1
8	8	20190809	8	0	-1
8	8	20190808	7	1	0
8	7	20190807	7	0	-1
7	7	20190806	7	0	-1
7	7	20190805	6	1	0
7	6	20190803	5	1	0
6	5	20190802	5	1	0
5	5	20190801	4	1	0
5	4	20190731	5	0	-1
4	5	20190730	5	0	-1
5	5	20190729	5	0	-1
5	5	20190727	5	1	0
5	5	20190726	5	0	-1
5	5	20190725	4	1	0
5	4	20190724	5	0	-1
4	5	20190723	6	0	-1
5	6	20190722	6	1	0
6	6	20190720	6	1	0
6	6	20190719	5	1	0
6	5	20190718	5	0	-1
5	5	20190717	4	1	0
5	4	20190716	4	1	0
4	4	20190715	3	1	0
4	3	20190713	4	0	-1
3	4	20190712	4	0	-1
4	4	20190711	4	0	-1
